model	loss	training_approach	inverse_relations	hits@10 (%)
ComplEx	CEL	LCWA	False	0.5374487004103967
ConvE	CEL	LCWA	True	0.5632694938440492
ConvKB	NSSAL	sLCWA	True	0.420827633378933
DistMult	CEL	LCWA	True	0.5261627906976745
ERMLP	SPL	sLCWA	True	0.4765731874145006
HolE	CEL	LCWA	False	0.500170998632011
KG2E	SPL	LCWA	False	0.5203488372093024
MuRE	SPL	LCWA	True	0.5790013679890561
NTN	MRL	sLCWA	False	0.3185704514363885
ProjE	CEL	LCWA	True	0.5172708618331053
QuatE	CEL	LCWA	False	0.5501025991792066
RESCAL	CEL	LCWA	False	0.5391586867305062
RotatE	BCEL	LCWA	True	0.6008891928864569
SE	SPL	sLCWA	False	0.4548563611491108
SimplE	CEL	LCWA	True	0.5088919288645691
TransD	MRL	sLCWA	False	0.4654582763337893
TransE	SPL	LCWA	False	0.5697674418604651
TransH	MRL	sLCWA	False	0.481703146374829
TransR	MRL	sLCWA	False	0.4251025991792065
TuckER	CEL	LCWA	True	0.560875512995896
UM	SPL	LCWA	False	0.4488714090287278
