model	loss	training_approach	inverse_relations	hits@10 (%)
ComplEx	CEL	LCWA	True	0.983705772811918
ConvE	NSSAL	sLCWA	True	0.9855679702048415
ConvKB	NSSAL	sLCWA	True	0.9706703910614524
DistMult	CEL	LCWA	True	0.9352886405959032
ERMLP	SPL	sLCWA	True	0.9748603351955308
HolE	CEL	LCWA	True	0.9371508379888268
KG2E	MRL	sLCWA	True	0.9185288640595904
MuRE	SPL	LCWA	True	0.9501862197392924
NTN	BCEL	sLCWA	True	0.936219739292365
ProjE	SPL	sLCWA	True	0.9664804469273744
QuatE	CEL	LCWA	True	0.9818435754189944
RESCAL	SPL	sLCWA	True	0.9771880819366852
RotatE	NSSAL	sLCWA	False	0.9855679702048415
SE	NSSAL	sLCWA	True	0.9832402234636872
SimplE	BCEL	sLCWA	False	0.9827746741154564
TransD	CEL	LCWA	True	0.452048417132216
TransE	CEL	LCWA	True	0.9287709497206704
TransH	CEL	LCWA	True	0.5204841713221602
TransR	MRL	sLCWA	False	0.7332402234636871
TuckER	SPL	LCWA	True	0.9860335195530726
UM	SPL	LCWA	True	0.1131284916201117
