number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_failure	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	system_attrs_fail_reason	state
0	0.5544395339493773	2020-05-25 17:37:45.341334	2020-05-25 20:20:46.224034	128	36	0.00947772247714081	8192	0.028942843313562942	0.27963037364403376	0.5544395339493773	0.4271795901968662	0.49015668943350743	1678.739152269988	0.37448787992666055	0.27963037364403376	0.5544395339493773	0.4271795901968662	0.49015668943350743	1678.7387505022098	0.37448787994323646		1576099615.0	380.0	0.27963037364403376	0.5544395339493773	0.4271795901968662	0.49015668943350743	1678.739554037766	0.37448787991009297	0		COMPLETE
1		2020-05-25 20:20:46.274774	2020-05-25 20:21:01.730273	256	3	0.006968326563651091	1024														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									1	Setting status of trial#1 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
2	0.47117316191241465	2020-05-25 20:21:01.766384	2020-05-25 22:43:41.833523	64	16	0.004273358571560813	4096	0.04008803765311606	0.1693451185214946	0.47117316191241465	0.30705102450783445	0.3746484531940538	2262.8378364805144	0.2680333145653431	0.1693451185214946	0.47117316191241465	0.30705102450783445	0.3746484531940538	2262.8373844917637	0.2680333145974686		4242848255.0	900.0	0.1693451185214946	0.47117316191241465	0.30705102450783445	0.3746484531940538	2262.8382884692646	0.26803331453324164	2		COMPLETE
3		2020-05-25 22:43:41.899738	2020-05-25 22:43:56.651720	256	28	0.0190670684585565	1024														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									3	Setting status of trial#3 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
4		2020-05-25 22:43:56.673421	2020-05-25 22:44:11.477259	256	7	0.002103289148881089	2048														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									4	Setting status of trial#4 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
5	0.5006026516673363	2020-05-25 22:44:11.496945	2020-05-26 03:32:27.676356	128	5	0.0024233423421468423	8192	0.0427564755278282	0.22137404580152673	0.5006026516673363	0.3592808356769787	0.4219566090799518	2446.511048613901	0.3151078742473347	0.22137404580152673	0.5006026516673363	0.3592808356769787	0.4219566090799518	2446.5105464041785	0.3151078743159932		2113054045.0	740.0	0.22137404580152673	0.5006026516673363	0.3592808356769787	0.4219566090799518	2446.511550823624	0.31510787417874697	5		COMPLETE
6		2020-05-26 03:32:27.707948	2020-05-26 03:32:42.415172	256	28	0.029384044702970857	1024														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									6	Setting status of trial#6 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
7		2020-05-26 03:32:42.426946	2020-05-26 03:32:57.187806	256	48	0.0010918468004160373	4096														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									7	Setting status of trial#7 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
8	0.02812374447569305	2020-05-26 03:32:57.199426	2020-05-26 04:48:59.031791	128	30	0.0395488793119134	2048	0.08805205174123594	0.00914021695460024	0.02812374447569305	0.022800321414222578	0.025311370028123746	5251.748192044998	0.018813621097865045	0.9335074327038971	0.9339092004821213	0.9339092004821213	0.9339092004821213	1732.4000602651668	0.9337050183538327		2903856777.0	150.0	0.00914021695460024	0.025612695861791886	0.020590598633989553	0.022800321414222578	8771.09632382483	0.015844029042611694	8		COMPLETE
9		2020-05-26 04:48:59.066743	2020-05-26 04:49:13.757497	256	28	0.041480398839306244	1024														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									9	Setting status of trial#9 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
10	0.02812374447569305	2020-05-26 04:49:13.771224	2020-05-26 05:16:36.101023	64	11	0.03377497991919168	1024	0.04459679402157829	0.0007030936118923262	0.02812374447569305	0.0034150261149055844	0.008135797509039776	2591.986591000402	0.016415900334937127	0.3829851345922057	0.39775010044194453	0.3846926476496585	0.3875050220972278	2533.0609682603454	0.3896978859411061		2037633337.0	100.0	0.0007030936118923262	0.019184411410204903	0.0027119325030132584	0.00622740056247489	2650.912213740458	0.01212121951829824	10		COMPLETE
