number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.hidden_dropout_rate	params_model.num_filters	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_failure	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	system_attrs_fail_reason	state
0	0.5665930092406589	2020-05-26 10:07:29.259585	2020-05-26 21:04:38.934801	128	0.10374019636539478	50	13	0.010823406330349132	2048	0.07337022442497153	0.3235235034150261	0.5665930092406589	0.45871836078746486	0.5113499397348332	4151.439132181599	0.40811760359310334	0.3235235034150261	0.5665930092406589	0.45871836078746486	0.5113499397348332	4151.438830855765	0.40811760359554006		2697335236.0	180.0	0.3235235034150261	0.5665930092406589	0.45871836078746486	0.5113499397348332	4151.439433507433	0.408117603590667	0		COMPLETE
1		2020-05-26 21:04:39.030578	2020-05-26 21:05:12.469805	64	0.21613945854244832	250	17	0.0011969068489170096	2048														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									1	Setting status of trial#1 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
2		2020-05-26 21:05:12.482970	2020-05-26 21:05:49.668449	256	0.2025759978303451	450	3	0.0471649981880322	2048														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									2	Setting status of trial#2 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
3		2020-05-26 21:05:49.683252	2020-05-26 21:08:37.395047	256	0.14342118007227064	450	31	0.01359660462692896	8192														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									3	Setting status of trial#3 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
4		2020-05-26 21:08:37.405279	2020-05-26 21:09:33.071862	128	0.280995994836972	150	40	0.02240902906020124	4096														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									4	Setting status of trial#4 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
5		2020-05-26 21:09:33.081679	2020-05-26 21:10:13.960128	256	0.10755415109774398	300	23	0.03558403237589352	1024														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									5	Setting status of trial#5 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
6		2020-05-26 21:10:13.970274	2020-05-26 21:10:50.597064	64	0.4069320095866361	350	17	0.009085511346751562	1024														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									6	Setting status of trial#6 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
7		2020-05-26 21:10:50.607720	2020-05-26 21:11:35.851464	256	0.28518120110215806	500	11	0.012895838231797657	1024														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									7	Setting status of trial#7 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
8		2020-05-26 21:11:35.862458	2020-05-26 21:12:17.599678	256	0.34952146832951875	350	2	0.012458807639679891	4096														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									8	Setting status of trial#8 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
9		2020-05-26 21:12:17.611434	2020-05-26 21:13:23.857323	256	0.31782730483060184	200	47	0.0027436639633017677	4096														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									9	Setting status of trial#9 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
