number	value	datetime_start	datetime_complete	params_loss.adversarial_temperature	params_loss.margin	params_model.embedding_dim	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_failure	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	system_attrs_fail_reason	state
0	0.5020088388911209	2020-05-25 23:52:29.143402	2020-05-26 03:33:23.827672	0.9783879866248271	5.73921609090286	128	23	0.005519334119045062	4096	0.04463064352214404	0.21374045801526717	0.5020088388911209	0.36008437123342707	0.4219566090799518	2617.404278826838	0.31159452643882724	0.21374045801526717	0.5020088388911209	0.36008437123342707	0.4219566090799518	2617.403676175171	0.3115945267007321		2476630888.0	370.0	0.21374045801526717	0.5020088388911209	0.36008437123342707	0.4219566090799518	2617.4048814785056	0.31159452617751016	0		COMPLETE
1	0.24598232221775815	2020-05-26 03:33:23.914233	2020-05-26 06:36:50.569269	0.7347517921891374	13.723843678500158	64	30	0.0010311363883800978	8192	0.05087146283033917	0.033246283648051426	0.24598232221775815	0.1006428284451587	0.15588589795098434	2877.1968159903577	0.09873437150986188	0.033246283648051426	0.24598232221775815	0.1006428284451587	0.15588589795098434	2877.1962635596624	0.09873437154634626		2394806611.0		0.033246283648051426	0.24598232221775815	0.1006428284451587	0.15588589795098434	2877.1973684210525	0.09873437147339374	1		COMPLETE
2	0.0	2020-05-26 06:36:50.635415	2020-05-26 07:22:00.546703	0.3863238510987367	13.442259789373287	128	41	0.08445825724636427	2048	0.5177257743229294	0.0	0.0	0.0	0.0	30974.370178786663	5.928720136926244e-05	0.9969867416633186	0.9994977902772197	0.9985938127762154	0.9991964644435516	14.040980313378867	0.9978413793892457		2967935827.0	60.0	0.0	0.0	0.0	0.0	61934.699377259945	2.9646835392838148e-05	2		COMPLETE
3	0.009240658899156288	2020-05-26 07:22:00.610664	2020-05-26 08:14:02.986520	0.5472329606319158	5.439636504937229	128	45	0.028201371842874242	1024	0.042064145634820464	0.002109280835676979	0.009240658899156288	0.0044194455604660505	0.006528726396143029	2478.7246886299718	0.007865213870894519	0.6517677782241864	0.6588991562876657	0.6546805946163118	0.6565889915628766	2030.4663519485737	0.6545791590176209		2053942924.0	60.0	0.002109280835676979	0.008939333065488149	0.0044194455604660505	0.0063278425070309365	2926.98302531137	0.006259068874686498	3		COMPLETE
4	0.5236038569706709	2020-05-26 08:14:03.051770	2020-05-26 14:07:16.028657	0.3816637274116451	24.480984693398646	128	36	0.002832226236923749	2048	0.03753577296122611	0.20791482523101648	0.5236038569706709	0.36450381679389315	0.43521494576134995	2124.000351546806	0.31245090285728555	0.20791482523101648	0.5236038569706709	0.36450381679389315	0.43521494576134995	2123.999397348333	0.3124509061236925		1438996011.0	530.0	0.20791482523101648	0.5236038569706709	0.36450381679389315	0.43521494576134995	2124.0013057452793	0.3124508996169062	4		COMPLETE
5	0.001506629168340699	2020-05-26 14:07:16.118443	2020-05-26 14:58:26.712696	0.8239513556459748	13.289702307525586	128	24	0.04039249257821543	1024	0.17635886419314942	0.0001004419445560466	0.001506629168340699	0.000502209722780233	0.0007030936118923262	10615.688127762154	0.0007796752769430232	0.9886500602651668	0.989252711932503	0.9890518280433909	0.9890518280433909	522.3213137806348	0.9888873034749849		2031844934.0	60.0	0.0001004419445560466	0.0007030936118923262	0.0004017677782241864	0.000502209722780233	20709.05494174367	0.0004899605123890306	5		COMPLETE
6		2020-05-26 14:58:26.778157	2020-05-26 14:58:54.887766	0.7642326417073408	6.587941568126528	256	23	0.0016264731446087193	2048														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									6	Setting status of trial#6 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
7	0.40528324628364804	2020-05-26 14:58:54.898492	2020-05-26 16:44:49.039692	0.3568330638865036	5.22338676110273	64	14	0.00644333636450842	8192														CUDA out of memory. Tried to allocate 2.26 GiB (GPU 0; 11.91 GiB total capacity; 3.82 GiB already allocated; 1.69 GiB free; 4.76 GiB reserved in total by PyTorch)									7	Setting status of trial#7 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
8		2020-05-26 16:44:49.050120	2020-05-26 16:45:21.945982	0.413199713722074	17.409766730969334	128	44	0.0012555759204178193	2048														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									8	Setting status of trial#8 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
9		2020-05-26 16:45:21.960734	2020-05-26 16:45:54.690122	0.9803692164937996	5.716494953089366	128	14	0.009566045540044367	1024														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									9	Setting status of trial#9 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
