number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.hidden_dropout_rate	params_model.num_filters	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_failure	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	system_attrs_fail_reason	state
0		2020-05-24 12:47:22.834779	2020-05-24 12:48:28.163047	64	0.16476926520905638	500	28	0.005120020440742698	8192														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									0	Setting status of trial#0 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
1		2020-05-24 12:48:28.173564	2020-05-24 12:49:09.833953	128	0.31887053182337	500	6	0.006903126241921778	2048														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									1	Setting status of trial#1 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
2		2020-05-24 12:49:09.846737	2020-05-24 12:49:47.286042	64	0.4403315062535217	500	4	0.014223692554857713	2048														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									2	Setting status of trial#2 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
3		2020-05-24 12:49:47.297568	2020-05-24 12:50:32.683280	128	0.24458041833633454	350	32	0.0022427834869231584	2048														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									3	Setting status of trial#3 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
4		2020-05-24 12:50:32.694268	2020-05-24 12:51:20.463544	64	0.3804793146307941	350	43	0.06097995231897807	4096														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									4	Setting status of trial#4 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
5		2020-05-24 12:51:20.475403	2020-05-24 12:52:15.908479	256	0.4433942082942094	250	39	0.001086502928756409	2048														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									5	Setting status of trial#5 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
6		2020-05-24 12:52:15.918867	2020-05-24 12:53:01.024720	256	0.43963788444199625	300	24	0.004282055434856084	1024														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									6	Setting status of trial#6 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
7		2020-05-24 12:53:01.037971	2020-05-24 12:53:43.466733	64	0.47029691448137045	250	44	0.008330343150487687	2048														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									7	Setting status of trial#7 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
8	0.5758336681398152	2020-05-24 12:53:43.478690	2020-05-25 09:34:14.905561	128	0.46863702891995274	50	13	0.0014878134556527717	2048	0.046117189666872165	0.31257533145841704	0.5758336681398152	0.4558055443953395	0.5080353555644838	2535.2679791080755	0.40363470554762326	0.31257533145841704	0.5758336681398152	0.4558055443953395	0.5080353555644838	2535.2676777822417	0.4036347055513927		1450369444.0	250.0	0.31257533145841704	0.5758336681398152	0.4558055443953395	0.5080353555644838	2535.2682804339092	0.4036347055438548	8		COMPLETE
9		2020-05-25 09:34:15.037981	2020-05-25 09:34:58.844955	64	0.27478070097134016	350	3	0.0014045639985726843	8192														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									9	Setting status of trial#9 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
10		2020-05-25 09:34:58.855087	2020-05-25 09:36:10.167073	128	0.14393361683778136	350	21	0.028653593107837376	8192														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									10	Setting status of trial#10 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
11		2020-05-25 09:36:10.179229	2020-05-25 09:37:53.483469	256	0.1505979989899094	250	40	0.002494664571040204	8192														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									11	Setting status of trial#11 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
12		2020-05-25 09:37:53.496903	2020-05-25 09:38:44.538458	128	0.36072788596755356	400	21	0.06738830782595054	2048														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									12	Setting status of trial#12 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
13		2020-05-25 09:38:44.551180	2020-05-25 09:40:55.021702	256	0.19568855086390766	450	41	0.016766546673414612	4096														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									13	Setting status of trial#13 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
14		2020-05-25 09:40:55.033021	2020-05-25 09:41:38.285894	128	0.4672347291399297	150	18	0.04686755373581272	2048														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									14	Setting status of trial#14 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
