number	value	datetime_start	datetime_complete	params_loss.margin	params_model.embedding_dim	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_failure	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	system_attrs_fail_reason	state
0	0.21102852551225393	2020-05-24 11:37:56.903240	2020-05-24 14:56:26.576511	2.2674372853015026	128	29	0.02166383230650884	1024	0.04088670062210053	0.04027721976697469	0.21102852551225393	0.1021494576134994	0.14122137404580154	2066.1191241462434	0.09784766914675114	0.05494174367215749	0.2260948171956609	0.11791884290879871	0.15678987545198875	2056.844817195661	0.11263861403423525		1465431520.0	160.0	0.04027721976697469	0.21022498995580555	0.10164724789071916	0.14071916432302128	2075.393431096826	0.09745456956496956	0		COMPLETE
1	0.18883085576536762	2020-05-24 14:56:26.591810	2020-05-24 16:51:31.536539	4.031354753862483	128	11	0.0542057882690251	8192	0.054055702822018444	0.05594616311771796	0.18883085576536762	0.0963238248292487	0.13097629570108477	2515.204449578144	0.10087452294023017	0.142225793491362	0.28304539975893933	0.19043792687826436	0.226295701084773	2506.547207713941	0.18912023689101842		1845152391.0	140.0	0.05594616311771796	0.18712334270791484	0.0963238248292487	0.13027320208919244	2523.8616914423465	0.09980295096515138	1		COMPLETE
2	0.23242265970269185	2020-05-24 16:51:31.548702	2020-05-24 21:06:47.008815	9.5747364990454	64	14	0.0020507414670746372	1024	0.04303941641124399	0.05785456006428284	0.23242265970269185	0.12314182402571314	0.16382081157091202	2105.2959019686623	0.11680488302285663	0.05785456006428284	0.23242265970269185	0.12314182402571314	0.16382081157091202	2105.29298915227	0.11680488705518635		1156606332.0	430.0	0.05785456006428284	0.23242265970269185	0.12314182402571314	0.16382081157091202	2105.298814785054	0.1168048790227853	2		COMPLETE
3		2020-05-24 21:06:47.028878	2020-05-24 21:07:11.470949	8.29674054350361	256	5	0.009440682454115955	2048														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									3	Setting status of trial#3 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
4	0.26275612695861794	2020-05-24 21:07:11.473365	2020-05-24 23:02:36.433331	7.120398757302812	64	49	0.04170792144603148	2048	0.03801956325175596	0.05855765367617517	0.26275612695861794	0.14102049015668944	0.1840096424266774	1967.88911209321	0.12811084134369802	0.06327842507030935	0.2679791080755323	0.14594214543993572	0.1892326235435918	1966.6514664523904	0.13294785689394334		2920624244.0	260.0	0.05855765367617517	0.2626556850140619	0.14102049015668944	0.18390920048212134	1969.1267577340298	0.12807265753296326	4		COMPLETE
5	0.1830052229811169	2020-05-24 23:02:36.449865	2020-05-25 00:03:11.350735	2.9029848597213967	64	34	0.02077543702565964	1024	0.034521347283163105	0.03455202892728003	0.1830052229811169	0.08165930092406588	0.11731619124146243	1820.0852249899558	0.08395321663051147	0.03455202892728003	0.1830052229811169	0.08165930092406588	0.11731619124146243	1820.085074327039	0.08395321739130093		871234131.0	100.0	0.03455202892728003	0.1830052229811169	0.08165930092406588	0.11731619124146243	1820.0853756528727	0.08395321587249639	5		COMPLETE
6	0.19495781438328647	2020-05-25 00:03:11.366639	2020-05-25 02:51:27.334466	9.933069482450426	64	19	0.0361910496973843	1024	0.060143777577315066	0.040176777822418644	0.19495781438328647	0.09431498593812776	0.1305745279228606	2764.8909702691844	0.09309699191664728	0.042085174768983526	0.19686621132985135	0.09622338288469265	0.13248292486942548	2764.7204700683005	0.09498405928562685		3449185298.0	280.0	0.040176777822418644	0.19495781438328647	0.09431498593812776	0.1305745279228606	2765.0614704700683	0.09308638470200259	6		COMPLETE
7	0.04389312977099236	2020-05-25 02:51:27.346551	2020-05-25 03:49:50.052805	2.416776380288025	128	29	0.06570635014175182	4096	0.08872459468485443	0.014865407794294898	0.04389312977099236	0.025612695861791886	0.03153877059059863	5266.951838087585	0.02789097542170571	0.02450783447167537	0.07010847730012053	0.054841301727601446	0.059562073121735636	5167.139513860989	0.04605914789198179		205256171.0	60.0	0.014865407794294898	0.042687826436319805	0.024708718360787463	0.029831257533145843	5366.764162314183	0.026716376193839	7		COMPLETE
8		2020-05-25 03:49:50.064673	2020-05-25 03:50:14.809290	0.8406603357960964	256	34	0.022976651333881996	4096														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									8	Setting status of trial#8 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
9	0.3139815186822017	2020-05-25 03:50:14.811506	2020-05-25 10:12:44.249657	7.162967294780979	128	15	0.002493042373883894	4096	0.028495918959633517	0.0814584170349538	0.3139815186822017	0.16984732824427481	0.22940940136601046	1485.8610385697068	0.15658079970267905	0.0814584170349538	0.3139815186822017	0.16984732824427481	0.22940940136601046	1485.8609883487345	0.1565807997165141		249047683.0	460.0	0.0814584170349538	0.3139815186822017	0.16984732824427481	0.22940940136601046	1485.8610887906789	0.15658079968885125	9		COMPLETE
