best_trial_evaluation	best_trial_number	git_hash	version	dataset	dataset_kwargs.create_inverse_triples	evaluation_kwargs.batch_size	evaluator	evaluator_kwargs.filtered	loss	loss_kwargs.margin	metric	model	model_kwargs.embedding_dim	negative_sampler	negative_sampler_kwargs.num_negs_per_pos	optimizer	optimizer_kwargs.lr	optimizer_kwargs.weight_decay	regularizer	training_kwargs.batch_size	training_kwargs.label_smoothing	training_kwargs.num_epochs	training_kwargs.sub_batch_size	training_loop	loss_kwargs.adversarial_temperature	early_stopping_kwargs.delta	early_stopping_kwargs.frequency	early_stopping_kwargs.patience	early_stopping_kwargs.evaluation_batch_size	model_kwargs.num_slices	model_kwargs.relation_dim	model_kwargs.scoring_fct_norm	model_kwargs.c_max	model_kwargs.c_min	regularizer_kwargs.dim	regularizer_kwargs.normalize	regularizer_kwargs.p	regularizer_kwargs.weight
0.00048499372361063563	0	d50cd48b	0.0.1-dev	fb15k237	True	16	rankbased	True	bceaftersigmoid		hits@10	complex	50.0	basic	81.0	adadelta	0.003324899660842959	0.0	powersum	256	0.0	900.0	64.0	owa											0.0	False	2.0	0.005208310477026095
0.004593175853018373	0	d50cd48b	0.0.1-dev	fb15k237	False	16	rankbased	True	bceaftersigmoid		hits@10	complex	50.0	basic	51.0	adadelta	0.04801006333733723	0.0	powersum	256	0.0	800.0	64.0	owa											0.0	False	2.0	0.00556085443846364
0.04721556544562364	1	d50cd48b	0.0.1-dev	fb15k237	True	16	rankbased	True	bceaftersigmoid		hits@10	complex	150.0	basic	1.0	adam	0.08985570277642828	0.0	powersum	256	0.0	700.0	64.0	owa											0.0	False	2.0	0.00011556004792301285
0.3547586442998973	0	d50cd48b	0.0.1-dev	fb15k237	False	16	rankbased	True	bceaftersigmoid		hits@10	complex	450.0	basic	11.0	adam	0.011790808088295619	0.0	powersum	256	0.0	1000.0	64.0	owa											0.0	False	2.0	0.0007545905667576717
0.005591692342804975	0	d50cd48b	0.0.1-dev	fb15k237	False	16	rankbased	True	marginranking	6.599328165074777	hits@10	complex	350.0	basic	1.0	adadelta	0.00668543508981216	0.0	powersum	256	0.0	700.0	64.0	owa											0.0	False	2.0	0.0038339335087655864
0.0766004792879151	0	d50cd48b	0.0.1-dev	fb15k237	True	16	rankbased	True	marginranking	5.363947374802521	hits@10	complex	250.0	basic	11.0	adadelta	0.018202133112351734	0.0	powersum	256	0.0	700.0	64.0	owa											0.0	False	2.0	0.00012029421364426813
0.000398371104815864	0	f2933ae2	0.0.1-dev	wn18rr	True	16	rankbased	True	marginranking	9.896494823315871	hits@10	complex	250.0	basic	26.0	adadelta	0.03279694926386367	0.0	powersum	256	0.0	1000.0	64.0	owa		0.002	50.0	2.0	16.0						0.0	False	2.0	0.0003719091628549392
0.000708215297450425	21	f2933ae2	0.0.1-dev	wn18rr	False	16	rankbased	True	marginranking	1.996041322907867	hits@10	complex	350.0	basic	11.0	adadelta	0.003345367844574424	0.0	powersum	256	0.0	500.0	64.0	owa		0.002	50.0	2.0	16.0						0.0	False	2.0	0.003161817968100369
0.3501369394043136	2	d50cd48b	0.0.1-dev	fb15k237	False	16	rankbased	True	marginranking	3.7048850363434283	hits@10	complex	50.0	basic	11.0	adam	0.002386574065258062	0.0	powersum	256	0.0	800.0	64.0	owa											0.0	False	2.0	0.00020894829553474913
0.055346342576743125	0	d50cd48b	0.0.1-dev	fb15k237	True	16	rankbased	True	marginranking	4.70453942970884	hits@10	complex	350.0	basic	41.0	adam	0.07740618507520024	0.0	powersum	256	0.0	700.0	64.0	owa											0.0	False	2.0	0.003920676471558485
