number	value	datetime_start	datetime_complete	params_loss.margin	params_model.embedding_dim	params_model.hidden_dropout_rate	params_model.num_filters	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_failure	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	system_attrs_fail_reason	state
0		2020-05-26 22:46:38.560775	2020-05-26 22:47:18.723880	1.834584172614714	256	0.2841831134413911	500	20	0.001995449750197921	4096														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									0	Setting status of trial#0 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
1		2020-05-26 22:47:18.735558	2020-05-26 22:47:39.005378	6.8196030286970135	128	0.19495582275129786	150	6	0.012430040313443212	4096														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									1	Setting status of trial#1 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
2		2020-05-26 22:47:39.016782	2020-05-26 22:48:03.783343	3.9182155444467694	256	0.41131589915314637	300	25	0.004260366814527787	1024														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									2	Setting status of trial#2 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
3		2020-05-26 22:48:03.794779	2020-05-26 22:48:30.677746	8.070459415626349	128	0.1392797377680137	200	35	0.024614159719679347	4096														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									3	Setting status of trial#3 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
4		2020-05-26 22:48:30.689189	2020-05-26 22:48:49.835823	4.795470759189262	128	0.33424725659681487	200	1	0.07539798435588102	1024														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									4	Setting status of trial#4 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
5		2020-05-26 22:48:49.846951	2020-05-26 22:49:19.471986	8.680662428880083	128	0.3085248208224677	250	43	0.018860330519857825	4096														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									5	Setting status of trial#5 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
6	0.30162715950180796	2020-05-26 22:49:19.482166	2020-05-27 05:39:35.859349	7.486904525670331	64	0.47699379685709475	100	8	0.03401451651790095	4096	0.045511134277391625	0.0799517878666131	0.30162715950180796	0.16693451185214947	0.21665327440739252	2356.2450281237443	0.1528203302692546	0.0799517878666131	0.30162715950180796	0.16693451185214947	0.21665327440739252	2356.2446765769387	0.15282033028077224		450165609.0	210.0	0.0799517878666131	0.30162715950180796	0.16693451185214947	0.21665327440739252	2356.2453796705504	0.15282033025774108	6		COMPLETE
7		2020-05-27 05:39:35.947299	2020-05-27 05:40:00.563415	0.7024535803525249	64	0.45828212531130674	450	27	0.001697127048152794	2048														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									7	Setting status of trial#7 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
8		2020-05-27 05:40:00.573704	2020-05-27 05:40:31.519594	5.905168310602315	256	0.29974643783506993	200	37	0.003138411402023506	2048														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									8	Setting status of trial#8 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
9		2020-05-27 05:40:31.530651	2020-05-27 05:41:18.787102	1.0131923883026377	256	0.36668430931213447	100	42	0.001180301213407368	8192														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									9	Setting status of trial#9 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
