model	best_trial_evaluation	best_trial_number	git_hash	version	dataset	dataset_kwargs.create_inverse_triples	evaluation_kwargs.batch_size	evaluator	evaluator_kwargs.filtered	loss	loss_kwargs.margin	metric	model_kwargs.embedding_dim	negative_sampler	negative_sampler_kwargs.num_negs_per_pos	optimizer	optimizer_kwargs.lr	optimizer_kwargs.weight_decay	regularizer	training_kwargs.batch_size	training_kwargs.label_smoothing	training_kwargs.num_epochs	training_kwargs.sub_batch_size	training_loop	loss_kwargs.adversarial_temperature	early_stopping_kwargs.delta	early_stopping_kwargs.frequency	early_stopping_kwargs.patience	early_stopping_kwargs.evaluation_batch_size	model_kwargs.num_slices	model_kwargs.relation_dim	model_kwargs.scoring_fct_norm	model_kwargs.c_max	model_kwargs.c_min	regularizer_kwargs.dim	regularizer_kwargs.normalize	regularizer_kwargs.p	regularizer_kwargs.weight
rotate	0.5511316690273843	2	708b3731	0.0.1-dev	wn18rr	True	1	rankbased	True	nssa	14.664601842911763	hits@10	450.0	basic	90.0	adam	0.007606492860667695	0.0	no	256	0.0	1200.0	64.0	owa	0.6806293990793814	0.002	50.0	2.0	1.0									
complex	0.5180755858872006	5	f2933ae2	0.0.1-dev	wn18rr	True	16	rankbased	True	marginranking	4.153068077814199	hits@10	350.0	basic	41.0	adam	0.0019639821751347474	0.0	powersum	256	0.0	800.0	64.0	owa		0.002	50.0	2.0	16.0						0.0	False	2.0	0.0007747845632665721
transe	0.5120396600566572	22	93df6494	0.0.1-dev	wn18rr	False	16	rankbased	True	nssa	23.33647983203969	hits@10	250.0	basic	40.0	adam	0.0010403257271451916	0.0	no	256	0.0	700.0		owa	0.6496269939534244							1.0						
distmult	0.5094428706326724	53	8408f784	0.0.1-dev	wn18rr	False	32	rankbased	True	marginranking	5.376084920458635	hits@10	450.0	basic	21.0	adam	0.0011360213033953684	0.0	lp	256	0.0	900.0		owa		0.002	50.0	2.0								False	2.0	0.0001
se	0.46981232294617564	2	UNHASHED	0.0.1-dev	wn18rr	False	1	rankbased	True	nssa	18.287972940637435	hits@10	450.0	basic	80.0	adam	0.0010702147430317452	0.0	no	256	0.0	1400.0		owa	0.3105778421550961	0.002	50.0	2.0	1.0			1.0						
ermlp	0.4540368271954674	2	80fad45a	0.0.1-dev	wn18rr	True	1	rankbased	True	bceaftersigmoid		hits@10	100.0	basic	21.0	adam	0.0025022770229027923	0.0	no	256	0.0	1500.0	64.0	owa		0.002	50.0	2.0										
rescal	0.4282778051484173	6	UNHASHED	0.0.1-dev	wn18rr	False	1	rankbased	True	bceaftersigmoid		hits@10	50.0	basic	51.0	adam	0.0029149602737737076	0.0	lp	256	0.0	1100.0		owa		0.002	50.0	2.0	1.0						0.0	False	2.0	0.00011529089218121944
hole	0.42607412653446647	8	53ad0f27	0.0.1-dev	wn18rr	True	16	rankbased	True	bceaftersigmoid		hits@10	150.0	basic	71.0	adam	0.0011562942359719028	0.0	no	256	0.0	700.0		owa		0.002	50.0	2.0										
kg2e	0.42402781354622715	8	57167d17	0.0.1-dev	wn18rr	False	1	rankbased	True	nssa	4.21644876291462	hits@10	350.0	basic	80.0	adam	0.005732383930538795	0.0	no	256	0.0	1500.0		owa	0.9027928621782145	0.002	50.0	2.0	1.0				5.594664140404952	0.06597887796941149				
transd	0.41980393618607426	14	3068d222	0.0.1-dev	wn18rr	False	1	rankbased	True	marginranking	1.3847066397525936	hits@10	250.0	basic	31.0	adam	0.0029334074756808474	0.0	no	256	0.0	900.0	128.0	owa		0.002	50.0	2.0	1.0		150.0							
proje	0.41665486307837585	5	UNHASHED	0.0.1-dev	wn18rr	True	32	rankbased	True	marginranking	5.909831185597952	hits@10	350.0	basic	31.0	adam	0.004064813750774488	0.0	no	256	0.0	2000.0	128.0	owa		0.002	50.0	2.0										
um	0.41283504031379387	8	f9af833e	0.0.1-dev	wn18rr	True	32	rankbased	True	nssa	27.130553245762297	hits@10	450.0	basic	100.0	adam	0.00442981394042539	0.0	no	256	0.0	1000.0		owa	0.7787084508682073	0.002	50.0	2.0				2.0						
transr	0.33839412181303113	1	708b3731	0.0.1-dev	wn18rr	True	1	rankbased	True	bceaftersigmoid		hits@10	150.0	basic	11.0	adam	0.004502314546338747	0.0	no	256	0.0	1000.0	64.0	owa		0.002	50.0	2.0	1.0		200.0	1.0						
simple	0.1903328611898017	89	aab5d36e	0.0.1-dev	wn18rr	False	1	rankbased	True	marginranking	3.4556546515538455	hits@10	350.0	basic	1.0	adam	0.0032520572754535172	0.0	powersum	256	0.0	1300.0		owa		0.002	50.0	2.0	1.0						0.0	False	2.0	0.017240662300519155
ntn	0.0038597733711048157	0	UNHASHED	0.0.1-dev	wn18rr	False	1	rankbased	True	marginranking	3.7754706083421548	hits@10	50.0	basic	46.0	adam	0.01232241312913111	0.0	no	256	0.0	1100.0		owa		0.002	50.0	2.0	1.0	4.0								
