searcher	dataset	inverse_relations	model	loss	regularizer	optimizer	training_approach	negative_sampler	model_bytes	replicate	training_time	evaluation_time	hits@10
random	Kinships	True	TuckER	SPL	No Reg.	Adam	LCWA	None	33686528	0	453.2409505844116	4.790182113647461	0.9869646182495344
random	Kinships	True	TuckER	CEL	No Reg.	Adam	LCWA	None	16896512	0	167.72738885879514	4.9971563816070566	0.9855679702048415
random	Kinships	False	RotatE	MRL	No Reg.	Adam	sLCWA	Basic	264192	0	84.74127268791199	0.11795401573181152	0.98463687150838
random	Kinships	True	ComplEx	CEL	No Reg.	Adam	LCWA	None	315392	2	48.05357146263122	0.1965727806091309	0.9809124767225326
random	Kinships	False	RotatE	BCEL	No Reg.	Adam	LCWA	None	264192	0	32.30463194847107	0.11485886573791505	0.9767225325884544
random	Kinships	False	ComplEx	CEL	No Reg.	Adam	LCWA	None	264192	0	25.34537172317505	0.18150091171264648	0.9725325884543762
random	Kinships	False	ComplEx	CEL	No Reg.	Adam	LCWA	None	264192	3	24.37805008888245	0.1641552448272705	0.9678770949720672
random	Kinships	False	SE	SPL	No Reg.	Adam	LCWA	None	845824	3	21.55025029182434	0.3457677364349365	0.9404096834264432
random	Kinships	False	RESCAL	SPL	No Reg.	Adam	LCWA	None	436224	2	13.77704405784607	0.08699941635131836	0.845437616387337
random	Kinships	False	DistMult	BCEL	No Reg.	Adadelta	LCWA	None	33024	0	9.517298936843874	0.08780550956726074	0.1005586592178771
