model	loss	training_approach	inverse_relations	training_time	hits@10
TuckER	SPL	LCWA	True	453.2409505844116	0.9869646182495344
TuckER	CEL	LCWA	True	167.72738885879514	0.9855679702048415
RotatE	MRL	sLCWA	False	84.74127268791199	0.98463687150838
ComplEx	CEL	LCWA	True	48.05357146263122	0.9809124767225326
RotatE	BCEL	LCWA	False	32.30463194847107	0.9767225325884544
ComplEx	CEL	LCWA	False	25.34537172317505	0.9725325884543762
ComplEx	CEL	LCWA	False	24.37805008888245	0.9678770949720672
SE	SPL	LCWA	False	21.55025029182434	0.9404096834264432
RESCAL	SPL	LCWA	False	13.77704405784607	0.845437616387337
DistMult	BCEL	LCWA	False	9.517298936843874	0.1005586592178771
