searcher	dataset	evaluator	loss	model	optimizer	regularizer	training_loop	hits@10	hits@10_std	negative_sampler
random	kinships	rankbased	bceaftersigmoid	distmult	adam	no	lcwa	0.85393	0.00163	
random	kinships	rankbased	bceaftersigmoid	distmult	adam	no	owa	0.85684	0.00313	basic
random	kinships	rankbased	bceaftersigmoid	distmult	adam	no	owa	0.86092	0.00349	basic
random	kinships	rankbased	crossentropy	distmult	adadelta	no	lcwa	0.39269	0.08948	
random	kinships	rankbased	crossentropy	distmult	adadelta	no	lcwa	0.59369	0.01939	
random	kinships	rankbased	crossentropy	distmult	adam	no	lcwa	0.88373	0.00268	
random	kinships	rankbased	crossentropy	distmult	adam	no	lcwa	0.92179	0.00221	
random	kinships	rankbased	marginranking	distmult	adadelta	no	owa	0.60894	0.04057	basic
random	kinships	rankbased	marginranking	distmult	adadelta	no	owa	0.54981	0.00524	basic
random	kinships	rankbased	marginranking	distmult	adam	no	owa	0.8558	0.00504	basic
random	kinships	rankbased	marginranking	distmult	adam	no	owa	0.84963	0.00368	basic
random	kinships	rankbased	nssa	distmult	adadelta	no	owa	0.09835	0.00813	basic
random	kinships	rankbased	nssa	distmult	adadelta	no	owa	0.10638	0.00758	basic
random	kinships	rankbased	nssa	distmult	adam	no	owa	0.85673	0.0051	basic
random	kinships	rankbased	nssa	distmult	adam	no	owa	0.8459	0.00396	basic
random	kinships	rankbased	softplus	distmult	adadelta	no	lcwa	0.09811	0.00666	
random	kinships	rankbased	softplus	distmult	adadelta	no	lcwa	0.10056	0.00448	
random	kinships	rankbased	softplus	distmult	adadelta	no	owa	0.09928	0.00709	basic
random	kinships	rankbased	softplus	distmult	adadelta	no	owa	0.10556	0.00631	basic
random	kinships	rankbased	softplus	distmult	adam	no	lcwa	0.84672	0.00431	
random	kinships	rankbased	softplus	distmult	adam	no	lcwa	0.84451	0.00427	
random	kinships	rankbased	softplus	distmult	adam	no	owa	0.85952	0.00384	basic
random	kinships	rankbased	softplus	distmult	adam	no	owa	0.86266	0.00255	basic
random	fb15k237	rankbased	bceaftersigmoid	ermlp	adadelta	no	lcwa	0.07819	0.0	
random	fb15k237	rankbased	bceaftersigmoid	ermlp	adadelta	no	lcwa	0.09037	0.0	
random	kinships	rankbased	bceaftersigmoid	ermlp	adadelta	no	lcwa	0.44844	0.02018	
random	kinships	rankbased	bceaftersigmoid	ermlp	adadelta	no	lcwa	0.79225	0.00201	
random	fb15k237	rankbased	bceaftersigmoid	ermlp	adadelta	no	owa	0.10806	0.0	basic
random	fb15k237	rankbased	bceaftersigmoid	ermlp	adadelta	no	owa	0.09822	0.0	basic
random	kinships	rankbased	bceaftersigmoid	ermlp	adadelta	no	owa	0.62221	0.01124	basic
random	kinships	rankbased	bceaftersigmoid	ermlp	adadelta	no	owa	0.77851	0.02887	basic
random	fb15k237	rankbased	bceaftersigmoid	ermlp	adam	no	lcwa	0.25957	0.0	
random	fb15k237	rankbased	bceaftersigmoid	ermlp	adam	no	lcwa	0.42149	0.0	
random	kinships	rankbased	bceaftersigmoid	ermlp	adam	no	lcwa	0.90293	0.00757	
random	kinships	rankbased	bceaftersigmoid	ermlp	adam	no	lcwa	0.94704	0.00325	
random	fb15k237	rankbased	bceaftersigmoid	ermlp	adam	no	owa	0.35544	0.0	basic
random	fb15k237	rankbased	bceaftersigmoid	ermlp	adam	no	owa	0.33553	0.0	basic
random	kinships	rankbased	bceaftersigmoid	ermlp	adam	no	owa	0.91888	0.0059	basic
random	kinships	rankbased	bceaftersigmoid	ermlp	adam	no	owa	0.96799	0.00089	basic
random	fb15k237	rankbased	crossentropy	ermlp	adadelta	no	lcwa	0.19823	0.0	
random	fb15k237	rankbased	crossentropy	ermlp	adadelta	no	lcwa	0.2544	0.0	
random	kinships	rankbased	crossentropy	ermlp	adadelta	no	lcwa	0.44355	0.01562	
random	kinships	rankbased	crossentropy	ermlp	adadelta	no	lcwa	0.81878	0.00891	
random	fb15k237	rankbased	crossentropy	ermlp	adam	no	lcwa	0.27314	0.0	
random	fb15k237	rankbased	crossentropy	ermlp	adam	no	lcwa	0.39515	0.0	
random	kinships	rankbased	crossentropy	ermlp	adam	no	lcwa	0.70216	0.02257	
random	kinships	rankbased	crossentropy	ermlp	adam	no	lcwa	0.946	0.00337	
random	fb15k237	rankbased	marginranking	ermlp	adadelta	no	owa	0.23119	0.0	basic
random	fb15k237	rankbased	marginranking	ermlp	adadelta	no	owa	0.24694	0.0	basic
random	kinships	rankbased	marginranking	ermlp	adadelta	no	owa	0.84998	0.03761	basic
random	kinships	rankbased	marginranking	ermlp	adadelta	no	owa	0.92121	0.00412	basic
random	fb15k237	rankbased	marginranking	ermlp	adam	no	owa	0.35478	0.0	basic
random	fb15k237	rankbased	marginranking	ermlp	adam	no	owa	0.35282	0.0	basic
random	kinships	rankbased	marginranking	ermlp	adam	no	owa	0.93063	0.00936	basic
random	kinships	rankbased	marginranking	ermlp	adam	no	owa	0.95647	0.00683	basic
random	fb15k237	rankbased	nssa	ermlp	adadelta	no	owa	0.1026	0.0	basic
random	fb15k237	rankbased	nssa	ermlp	adadelta	no	owa	0.08196	0.0	basic
random	kinships	rankbased	nssa	ermlp	adadelta	no	owa	0.7273	0.05581	basic
random	kinships	rankbased	nssa	ermlp	adadelta	no	owa	0.92761	0.00919	basic
random	fb15k237	rankbased	nssa	ermlp	adam	no	owa	0.28949	0.0	basic
random	fb15k237	rankbased	nssa	ermlp	adam	no	owa	0.30338	0.0	basic
random	kinships	rankbased	nssa	ermlp	adam	no	owa	0.94425	0.00238	basic
random	kinships	rankbased	nssa	ermlp	adam	no	owa	0.96892	0.00346	basic
random	fb15k237	rankbased	softplus	ermlp	adadelta	no	lcwa	0.08844	0.0	
random	fb15k237	rankbased	softplus	ermlp	adadelta	no	lcwa	0.07518	0.0	
random	kinships	rankbased	softplus	ermlp	adadelta	no	lcwa	0.46357	0.01485	
random	kinships	rankbased	softplus	ermlp	adadelta	no	lcwa	0.79411	0.01479	
random	fb15k237	rankbased	softplus	ermlp	adadelta	no	owa	0.1151	0.0	basic
random	fb15k237	rankbased	softplus	ermlp	adadelta	no	owa	0.09942	0.0	basic
random	kinships	rankbased	softplus	ermlp	adadelta	no	owa	0.6939	0.00209	basic
random	kinships	rankbased	softplus	ermlp	adadelta	no	owa	0.84742	0.00106	basic
random	fb15k237	rankbased	softplus	ermlp	adam	no	lcwa	0.25066	0.0	
random	fb15k237	rankbased	softplus	ermlp	adam	no	lcwa	0.37927	0.0	
random	kinships	rankbased	softplus	ermlp	adam	no	lcwa	0.89269	0.01232	
random	kinships	rankbased	softplus	ermlp	adam	no	lcwa	0.94902	0.00417	
random	fb15k237	rankbased	softplus	ermlp	adam	no	owa	0.32819	0.0	basic
random	fb15k237	rankbased	softplus	ermlp	adam	no	owa	0.35395	0.0	basic
random	kinships	rankbased	softplus	ermlp	adam	no	owa	0.94658	0.00495	basic
random	kinships	rankbased	softplus	ermlp	adam	no	owa	0.96881	0.00347	basic
random	kinships	rankbased	bceaftersigmoid	hole	adadelta	no	lcwa	0.10417	0.0103	
random	kinships	rankbased	bceaftersigmoid	hole	adadelta	no	lcwa	0.10393	0.00557	
random	kinships	rankbased	bceaftersigmoid	hole	adadelta	no	owa	0.82193	0.01235	basic
random	kinships	rankbased	bceaftersigmoid	hole	adadelta	no	owa	0.70577	0.01195	basic
random	kinships	rankbased	bceaftersigmoid	hole	adam	no	lcwa	0.86813	0.00282	
random	kinships	rankbased	bceaftersigmoid	hole	adam	no	lcwa	0.87453	0.00516	
random	kinships	rankbased	bceaftersigmoid	hole	adam	no	owa	0.85929	0.00412	basic
random	kinships	rankbased	bceaftersigmoid	hole	adam	no	owa	0.86162	0.00214	basic
random	kinships	rankbased	crossentropy	hole	adadelta	no	lcwa	0.91189	0.00699	
random	kinships	rankbased	crossentropy	hole	adadelta	no	lcwa	0.84835	0.00978	
random	kinships	rankbased	crossentropy	hole	adam	no	lcwa	0.85649	0.00454	
random	kinships	rankbased	crossentropy	hole	adam	no	lcwa	0.92493	0.00559	
random	kinships	rankbased	marginranking	hole	adadelta	no	owa	0.85289	0.00923	basic
random	kinships	rankbased	marginranking	hole	adadelta	no	owa	0.86208	0.00718	basic
random	kinships	rankbased	marginranking	hole	adam	no	owa	0.8558	0.00258	basic
random	kinships	rankbased	marginranking	hole	adam	no	owa	0.85824	0.00442	basic
random	kinships	rankbased	nssa	hole	adadelta	no	owa	0.70088	0.0194	basic
random	kinships	rankbased	nssa	hole	adadelta	no	owa	0.85673	0.00457	basic
random	kinships	rankbased	nssa	hole	adam	no	owa	0.85847	0.0058	basic
random	kinships	rankbased	nssa	hole	adam	no	owa	0.86499	0.00528	basic
random	kinships	rankbased	softplus	hole	adadelta	no	lcwa	0.10207	0.00653	
random	kinships	rankbased	softplus	hole	adadelta	no	lcwa	0.10801	0.00672	
random	kinships	rankbased	softplus	hole	adadelta	no	owa	0.42295	0.08005	basic
random	kinships	rankbased	softplus	hole	adadelta	no	owa	0.10102	0.00661	basic
random	kinships	rankbased	softplus	hole	adam	no	lcwa	0.87488	0.00815	
random	kinships	rankbased	softplus	hole	adam	no	lcwa	0.87395	0.00548	
random	kinships	rankbased	softplus	hole	adam	no	owa	0.85882	0.00461	basic
random	kinships	rankbased	softplus	hole	adam	no	owa	0.85661	0.00269	basic
random	fb15k237	rankbased	bceaftersigmoid	kg2e	adadelta	no	lcwa	0.00029	0.0	
random	fb15k237	rankbased	bceaftersigmoid	kg2e	adadelta	no	lcwa	0.00039	0.0	
random	kinships	rankbased	bceaftersigmoid	kg2e	adadelta	no	lcwa	0.10777	0.00524	
random	kinships	rankbased	bceaftersigmoid	kg2e	adadelta	no	lcwa	0.10533	0.00432	
random	fb15k237	rankbased	bceaftersigmoid	kg2e	adadelta	no	owa	0.00061	0.0	basic
random	fb15k237	rankbased	bceaftersigmoid	kg2e	adadelta	no	owa	0.00061	0.0	basic
random	kinships	rankbased	bceaftersigmoid	kg2e	adadelta	no	owa	0.1122	0.00881	basic
random	kinships	rankbased	bceaftersigmoid	kg2e	adadelta	no	owa	0.103	0.00617	basic
random	fb15k237	rankbased	bceaftersigmoid	kg2e	adam	no	lcwa	0.00051	0.0	
random	fb15k237	rankbased	bceaftersigmoid	kg2e	adam	no	lcwa	0.00064	0.0	
random	kinships	rankbased	bceaftersigmoid	kg2e	adam	no	lcwa	0.10766	0.00989	
random	kinships	rankbased	bceaftersigmoid	kg2e	adam	no	lcwa	0.10673	0.00458	
random	fb15k237	rankbased	bceaftersigmoid	kg2e	adam	no	owa	0.00213	0.0	basic
random	fb15k237	rankbased	bceaftersigmoid	kg2e	adam	no	owa	0.0295	0.0	basic
random	kinships	rankbased	bceaftersigmoid	kg2e	adam	no	owa	0.1115	0.00516	basic
random	kinships	rankbased	bceaftersigmoid	kg2e	adam	no	owa	0.10731	0.00149	basic
random	fb15k237	rankbased	crossentropy	kg2e	adadelta	no	lcwa	0.18568	0.0	
random	kinships	rankbased	crossentropy	kg2e	adadelta	no	lcwa	0.50675	0.01247	
random	kinships	rankbased	crossentropy	kg2e	adadelta	no	lcwa	0.71392	0.01038	
random	fb15k237	rankbased	crossentropy	kg2e	adam	no	lcwa	0.36283	0.0	
random	fb15k237	rankbased	crossentropy	kg2e	adam	no	lcwa	0.2182	0.0	
random	kinships	rankbased	crossentropy	kg2e	adam	no	lcwa	0.19367	0.00412	
random	kinships	rankbased	crossentropy	kg2e	adam	no	lcwa	0.16736	0.00607	
random	fb15k237	rankbased	marginranking	kg2e	adadelta	no	owa	0.28344	0.0	basic
random	fb15k237	rankbased	marginranking	kg2e	adadelta	no	owa	0.22206	0.0	basic
random	kinships	rankbased	marginranking	kg2e	adadelta	no	owa	0.83776	0.00434	basic
random	kinships	rankbased	marginranking	kg2e	adadelta	no	owa	0.86569	0.0033	basic
random	fb15k237	rankbased	marginranking	kg2e	adam	no	owa	0.34891	0.0	basic
random	fb15k237	rankbased	marginranking	kg2e	adam	no	owa	0.36537	0.0	basic
random	kinships	rankbased	marginranking	kg2e	adam	no	owa	0.89409	0.00193	basic
random	kinships	rankbased	marginranking	kg2e	adam	no	owa	0.88338	0.00343	basic
random	fb15k237	rankbased	nssa	kg2e	adadelta	no	owa	0.28339	0.0	basic
random	fb15k237	rankbased	nssa	kg2e	adadelta	no	owa	0.2019	0.0	basic
random	kinships	rankbased	nssa	kg2e	adadelta	no	owa	0.79236	0.00722	basic
random	kinships	rankbased	nssa	kg2e	adadelta	no	owa	0.85754	0.01035	basic
random	fb15k237	rankbased	nssa	kg2e	adam	no	owa	0.32452	0.0	basic
random	fb15k237	rankbased	nssa	kg2e	adam	no	owa	0.36332	0.0	basic
random	kinships	rankbased	nssa	kg2e	adam	no	owa	0.69262	0.01872	basic
random	kinships	rankbased	nssa	kg2e	adam	no	owa	0.16818	0.00902	basic
random	fb15k237	rankbased	softplus	kg2e	adadelta	no	lcwa	0.06896	0.0	
random	fb15k237	rankbased	softplus	kg2e	adadelta	no	lcwa	0.00421	0.0	
random	kinships	rankbased	softplus	kg2e	adadelta	no	lcwa	0.10556	0.01039	
random	kinships	rankbased	softplus	kg2e	adadelta	no	lcwa	0.10312	0.00739	
random	fb15k237	rankbased	softplus	kg2e	adadelta	no	owa	0.11158	0.0	basic
random	fb15k237	rankbased	softplus	kg2e	adadelta	no	owa	0.10321	0.0	basic
random	kinships	rankbased	softplus	kg2e	adadelta	no	owa	0.18959	0.00639	basic
random	kinships	rankbased	softplus	kg2e	adadelta	no	owa	0.21299	0.00804	basic
random	fb15k237	rankbased	softplus	kg2e	adam	no	lcwa	0.40249	0.0	
random	fb15k237	rankbased	softplus	kg2e	adam	no	lcwa	0.43546	0.0	
random	kinships	rankbased	softplus	kg2e	adam	no	lcwa	0.14502	0.01334	
random	kinships	rankbased	softplus	kg2e	adam	no	lcwa	0.14665	0.00649	
random	fb15k237	rankbased	softplus	kg2e	adam	no	owa	0.40464	0.0	basic
random	fb15k237	rankbased	softplus	kg2e	adam	no	owa	0.3836	0.0	basic
random	kinships	rankbased	softplus	kg2e	adam	no	owa	0.13827	0.00961	basic
random	kinships	rankbased	softplus	kg2e	adam	no	owa	0.52142	0.04252	basic
random	fb15k237	rankbased	bceaftersigmoid	proje	adadelta	no	lcwa	0.00061	0.0	
random	fb15k237	rankbased	bceaftersigmoid	proje	adadelta	no	lcwa	0.01468	0.0	
random	kinships	rankbased	bceaftersigmoid	proje	adadelta	no	lcwa	0.1044	0.0073	
random	kinships	rankbased	bceaftersigmoid	proje	adadelta	no	lcwa	0.10801	0.00353	
random	fb15k237	rankbased	bceaftersigmoid	proje	adadelta	no	owa	0.05468	0.0	basic
random	fb15k237	rankbased	bceaftersigmoid	proje	adadelta	no	owa	0.05544	0.0	basic
random	kinships	rankbased	bceaftersigmoid	proje	adadelta	no	owa	0.10824	0.00463	basic
random	kinships	rankbased	bceaftersigmoid	proje	adadelta	no	owa	0.10324	0.00916	basic
random	fb15k237	rankbased	bceaftersigmoid	proje	adam	no	lcwa	0.30416	0.0	
random	fb15k237	rankbased	bceaftersigmoid	proje	adam	no	lcwa	0.40185	0.0	
random	kinships	rankbased	bceaftersigmoid	proje	adam	no	lcwa	0.91585	0.00594	
random	kinships	rankbased	bceaftersigmoid	proje	adam	no	lcwa	0.94914	0.00443	
random	fb15k237	rankbased	bceaftersigmoid	proje	adam	no	owa	0.28447	0.0	basic
random	fb15k237	rankbased	bceaftersigmoid	proje	adam	no	owa	0.24802	0.0	basic
random	kinships	rankbased	bceaftersigmoid	proje	adam	no	owa	0.93901	0.00497	basic
random	kinships	rankbased	bceaftersigmoid	proje	adam	no	owa	0.95635	0.0034	basic
random	fb15k237	rankbased	crossentropy	proje	adadelta	no	lcwa	0.22492	0.0	
random	fb15k237	rankbased	crossentropy	proje	adadelta	no	lcwa	0.29675	0.0	
random	kinships	rankbased	crossentropy	proje	adadelta	no	lcwa	0.1733	0.0051	
random	kinships	rankbased	crossentropy	proje	adadelta	no	lcwa	0.22765	0.00249	
random	fb15k237	rankbased	crossentropy	proje	adam	no	lcwa	0.28386	0.0	
random	fb15k237	rankbased	crossentropy	proje	adam	no	lcwa	0.40422	0.0	
random	kinships	rankbased	crossentropy	proje	adam	no	lcwa	0.9247	0.00391	
random	kinships	rankbased	crossentropy	proje	adam	no	lcwa	0.94227	0.00483	
random	fb15k237	rankbased	marginranking	proje	adadelta	no	owa	0.22216	0.0	basic
random	fb15k237	rankbased	marginranking	proje	adadelta	no	owa	0.22691	0.0	basic
random	kinships	rankbased	marginranking	proje	adadelta	no	owa	0.80319	0.04177	basic
random	kinships	rankbased	marginranking	proje	adadelta	no	owa	0.82996	0.03228	basic
random	fb15k237	rankbased	marginranking	proje	adam	no	owa	0.31346	0.0	basic
random	fb15k237	rankbased	marginranking	proje	adam	no	owa	0.33768	0.0	basic
random	kinships	rankbased	marginranking	proje	adam	no	owa	0.91271	0.00657	basic
random	kinships	rankbased	marginranking	proje	adam	no	owa	0.93203	0.00495	basic
random	fb15k237	rankbased	nssa	proje	adadelta	no	owa	0.05306	0.0	basic
random	fb15k237	rankbased	nssa	proje	adadelta	no	owa	0.06067	0.0	basic
random	kinships	rankbased	nssa	proje	adadelta	no	owa	0.10987	0.00418	basic
random	kinships	rankbased	nssa	proje	adadelta	no	owa	0.10649	0.00301	basic
random	fb15k237	rankbased	nssa	proje	adam	no	owa	0.26037	0.0	basic
random	fb15k237	rankbased	nssa	proje	adam	no	owa	0.22666	0.0	basic
random	kinships	rankbased	nssa	proje	adam	no	owa	0.92109	0.006	basic
random	kinships	rankbased	nssa	proje	adam	no	owa	0.95077	0.004	basic
random	fb15k237	rankbased	softplus	proje	adadelta	no	lcwa	0.00051	0.0	
random	fb15k237	rankbased	softplus	proje	adadelta	no	lcwa	0.00022	0.0	
random	kinships	rankbased	softplus	proje	adadelta	no	lcwa	0.10696	0.00809	
random	kinships	rankbased	softplus	proje	adadelta	no	lcwa	0.11185	0.0037	
random	fb15k237	rankbased	softplus	proje	adadelta	no	owa	0.058	0.0	basic
random	fb15k237	rankbased	softplus	proje	adadelta	no	owa	0.06723	0.0	basic
random	kinships	rankbased	softplus	proje	adadelta	no	owa	0.10929	0.00815	basic
random	kinships	rankbased	softplus	proje	adadelta	no	owa	0.09416	0.01112	basic
random	fb15k237	rankbased	softplus	proje	adam	no	lcwa	0.23097	0.0	
random	fb15k237	rankbased	softplus	proje	adam	no	lcwa	0.32102	0.0	
random	kinships	rankbased	softplus	proje	adam	no	lcwa	0.86557	0.00137	
random	kinships	rankbased	softplus	proje	adam	no	lcwa	0.90899	0.00313	
random	fb15k237	rankbased	softplus	proje	adam	no	owa	0.28136	0.0	basic
random	fb15k237	rankbased	softplus	proje	adam	no	owa	0.23158	0.0	basic
random	kinships	rankbased	softplus	proje	adam	no	owa	0.94635	0.00546	basic
random	kinships	rankbased	softplus	proje	adam	no	owa	0.9531	0.0053	basic
random	fb15k237	rankbased	bceaftersigmoid	rotate	adadelta	no	owa	0.06432	0.0	basic
random	fb15k237	rankbased	bceaftersigmoid	rotate	adadelta	no	owa	0.06488	0.0	basic
random	fb15k237	rankbased	bceaftersigmoid	rotate	adam	no	lcwa	0.42291	0.0	
random	fb15k237	rankbased	bceaftersigmoid	rotate	adam	no	lcwa	0.4566	0.0	
random	fb15k237	rankbased	bceaftersigmoid	rotate	adam	no	owa	0.35361	0.0	basic
random	fb15k237	rankbased	bceaftersigmoid	rotate	adam	no	owa	0.35796	0.0	basic
random	fb15k237	rankbased	crossentropy	rotate	adadelta	no	lcwa	0.0697	0.0	
random	fb15k237	rankbased	crossentropy	rotate	adadelta	no	lcwa	0.06916	0.0	
random	fb15k237	rankbased	crossentropy	rotate	adam	no	lcwa	0.45623	0.0	
random	fb15k237	rankbased	crossentropy	rotate	adam	no	lcwa	0.4166	0.0	
random	fb15k237	rankbased	marginranking	rotate	adadelta	no	owa	0.065	0.0	basic
random	fb15k237	rankbased	marginranking	rotate	adadelta	no	owa	0.18397	0.0	basic
random	fb15k237	rankbased	marginranking	rotate	adam	no	owa	0.28684	0.0	basic
random	fb15k237	rankbased	marginranking	rotate	adam	no	owa	0.39612	0.0	basic
random	fb15k237	rankbased	nssa	rotate	adadelta	no	owa	0.06405	0.0	basic
random	fb15k237	rankbased	nssa	rotate	adadelta	no	owa	0.06434	0.0	basic
random	fb15k237	rankbased	nssa	rotate	adam	no	owa	0.4771	0.0	basic
random	fb15k237	rankbased	nssa	rotate	adam	no	owa	0.48177	0.0	basic
random	fb15k237	rankbased	softplus	rotate	adadelta	no	owa	0.06224	0.0	basic
random	fb15k237	rankbased	softplus	rotate	adadelta	no	owa	0.0638	0.0	basic
random	fb15k237	rankbased	softplus	rotate	adam	no	lcwa	0.443	0.0	
random	fb15k237	rankbased	softplus	rotate	adam	no	lcwa	0.43661	0.0	
random	fb15k237	rankbased	softplus	rotate	adam	no	owa	0.3586	0.0	basic
random	fb15k237	rankbased	softplus	rotate	adam	no	owa	0.36506	0.0	basic
random	fb15k237	rankbased	bceaftersigmoid	simple	adadelta	no	lcwa	0.00061	0.0	
random	fb15k237	rankbased	bceaftersigmoid	simple	adadelta	no	lcwa	0.00054	0.0	
random	kinships	rankbased	bceaftersigmoid	simple	adadelta	no	lcwa	0.09416	0.00742	
random	kinships	rankbased	bceaftersigmoid	simple	adadelta	no	lcwa	0.10521	0.00269	
random	fb15k237	rankbased	bceaftersigmoid	simple	adadelta	no	owa	0.00061	0.00011	basic
random	fb15k237	rankbased	bceaftersigmoid	simple	adadelta	no	owa	0.00064	5e-05	basic
random	kinships	rankbased	bceaftersigmoid	simple	adadelta	no	owa	0.10149	0.01249	basic
random	kinships	rankbased	bceaftersigmoid	simple	adadelta	no	owa	0.10626	0.00815	basic
random	fb15k237	rankbased	bceaftersigmoid	simple	adam	no	lcwa	0.39581	0.0	
random	fb15k237	rankbased	bceaftersigmoid	simple	adam	no	lcwa	0.22081	0.0	
random	kinships	rankbased	bceaftersigmoid	simple	adam	no	lcwa	0.93389	0.00324	
random	kinships	rankbased	bceaftersigmoid	simple	adam	no	lcwa	0.96951	0.00149	
random	fb15k237	rankbased	bceaftersigmoid	simple	adam	no	owa	0.27733	0.00755	basic
random	fb15k237	rankbased	bceaftersigmoid	simple	adam	no	owa	0.26906	0.00518	basic
random	kinships	rankbased	bceaftersigmoid	simple	adam	no	owa	0.96764	0.00323	basic
