number	value	datetime_start	datetime_complete	params_loss.margin	params_model.dropout_0	params_model.dropout_1	params_model.dropout_2	params_model.embedding_dim	params_model.relation_dim	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_failure	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	system_attrs_fail_reason	state
0		2020-05-23 12:27:09.258538	2020-05-23 12:27:12.481537	5.8254783255617815	0.2598848132895184	0.3004133017640081	0.3998325442183678	256	256	64	0.0129279492206491	128														The current model can't be trained on this hardware with these parameters.									0	Setting status of trial#0 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
1	0.9653558052434457	2020-05-23 12:27:12.563466	2020-05-23 15:25:38.757529	9.435582064157746	0.2415264181913347	0.3025258642177302	0.4893485429969817	128	256	23	0.007053189545499643	512	0.06604519803059541	0.5140449438202247	0.9653558052434457	0.8403558052434457	0.9166666666666666	3.192415730337079	0.6863990296759566	0.5140449438202247	0.9653558052434457	0.8403558052434457	0.9166666666666666	3.192415730337079	0.6863990296759566		977078031.0	200.0	0.5140449438202247	0.9653558052434457	0.8403558052434457	0.9166666666666666	3.192415730337079	0.6863990296759566	1		COMPLETE
2	0.9695692883895131	2020-05-23 15:25:38.884950	2020-05-23 16:58:56.517631	7.440957398754656	0.1961995857925851	0.27233490768022606	0.4065491617972672	64	256	45	0.006103140718657813	256	0.06179016086792622	0.523876404494382	0.9695692883895131	0.8647003745318352	0.9269662921348315	2.98689138576779	0.7004498567221037	0.523876404494382	0.9695692883895131	0.8647003745318352	0.9269662921348315	2.98689138576779	0.7004498567221037		413658249.0	200.0	0.523876404494382	0.9695692883895131	0.8647003745318352	0.9269662921348315	2.98689138576779	0.7004498567221037	2		COMPLETE
3	0.9606741573033708	2020-05-23 16:58:56.619933	2020-05-23 18:21:37.758426	6.458932679858148	0.292718864175066	0.4284143682998989	0.33989897397782387	64	128	48	0.0142111297168568	128	0.06781832206722223	0.46629213483146065	0.9606741573033708	0.7968164794007491	0.8955992509363296	3.2780898876404496	0.647597822456743	0.46629213483146065	0.9606741573033708	0.7968164794007491	0.8955992509363296	3.2780898876404496	0.647597822456743		3080795036.0	300.0	0.46629213483146065	0.9606741573033708	0.7968164794007491	0.8955992509363296	3.2780898876404496	0.647597822456743	3		COMPLETE
4		2020-05-23 18:21:37.843461	2020-05-23 18:21:41.419154	2.7187732397897886	0.2918850384376669	0.32892080143819036	0.26527229129275964	256	256	61	0.0015433113649067115	128														The current model can't be trained on this hardware with these parameters.									4	Setting status of trial#4 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
5	0.9470973782771536	2020-05-23 18:21:41.508209	2020-05-24 00:51:14.511115	1.8984015950756887	0.41566522986408827	0.4771847770792699	0.24651117874051076	128	256	50	0.060573251107751254	256	0.07626162566443424	0.4044943820224719	0.9470973782771536	0.7457865168539326	0.8609550561797753	3.682584269662921	0.5963270123578095	0.4044943820224719	0.9470973782771536	0.7457865168539326	0.8609550561797753	3.682584269662921	0.5963270123578095		2658254274.0	200.0	0.4044943820224719	0.9470973782771536	0.7457865168539326	0.8609550561797753	3.682584269662921	0.5963270123578095	5		COMPLETE
6	0.9700374531835206	2020-05-24 00:51:14.598609	2020-05-24 01:38:24.662723	9.605797009632123	0.27761059380057185	0.3405213072120167	0.4771967432701292	64	64	67	0.00988956146386061	256	0.0611744314181001	0.522003745318352	0.9700374531835206	0.850187265917603	0.9311797752808989	2.9517790262172285	0.694218086682412	0.522003745318352	0.9700374531835206	0.850187265917603	0.9311797752808989	2.9517790262172285	0.694218086682412		3520611067.0	250.0	0.522003745318352	0.9700374531835206	0.850187265917603	0.9311797752808989	2.9517790262172285	0.694218086682412	6		COMPLETE
7	0.8445692883895131	2020-05-24 01:38:24.778100	2020-05-24 02:25:07.017833	4.148011702499473	0.45340341733759193	0.4048976114467686	0.3839000549301149	64	64	59	0.04566174277012506	256	0.12519476715168368	0.21910112359550563	0.8445692883895131	0.4850187265917603	0.6502808988764045	6.073033707865169	0.40825528227557406	0.21910112359550563	0.8445692883895131	0.4850187265917603	0.6502808988764045	6.073033707865169	0.40825528227557406		1972181932.0	300.0	0.21910112359550563	0.8445692883895131	0.4850187265917603	0.6502808988764045	6.073033707865169	0.40825528227557406	7		COMPLETE
8		2020-05-24 02:25:07.106872	2020-05-24 02:25:10.335423	4.668292372106494	0.45348561233056595	0.4131025927784371	0.27789743533566585	256	256	91	0.001922266801483265	256														The current model can't be trained on this hardware with these parameters.									8	Setting status of trial#8 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
9	0.9297752808988764	2020-05-24 02:25:10.425304	2020-05-24 04:06:15.160013	6.018289340386895	0.3426513264387878	0.28131972876109584	0.36542759724384166	256	128	6	0.005589008564078465	128	0.08550658127143003	0.4208801498127341	0.9297752808988764	0.7125468164794008	0.8328651685393258	4.146067415730337	0.5946252920572005	0.4208801498127341	0.9297752808988764	0.7125468164794008	0.8328651685393258	4.146067415730337	0.5946252920572005		2205347097.0	200.0	0.4208801498127341	0.9297752808988764	0.7125468164794008	0.8328651685393258	4.146067415730337	0.5946252920572005	9		COMPLETE
