number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.hidden_dropout_rate	params_model.num_filters	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_failure	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	system_attrs_fail_reason	state
0		2020-05-24 12:46:01.844865	2020-05-24 12:46:56.079911	256	0.31074741971420317	100	26	0.016338253377723464	1024														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									0	Setting status of trial#0 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
1	0.07683808758537565	2020-05-24 12:46:56.091585	2020-05-24 19:36:03.260250	64	0.21114338056585016	50	50	0.05479617038420803	8192	0.14124478940561117	0.0001004419445560466	0.07683808758537565	0.029931699477701888	0.04630373644033749	8118.178987545199	0.027214918662408185	0.0001004419445560466	0.07683808758537565	0.029931699477701888	0.04630373644033749	8118.170952189635	0.027214919620875723		884036056.0	70.0	0.0001004419445560466	0.07683808758537565	0.029931699477701888	0.04630373644033749	8118.187022900764	0.027214917705436204	1		COMPLETE
2		2020-05-24 19:36:03.345824	2020-05-24 19:37:26.601416	256	0.4156952672234565	400	37	0.003870057748134389	2048														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									2	Setting status of trial#2 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
3		2020-05-24 19:37:26.611935	2020-05-24 19:39:02.424038	256	0.14823911782514296	500	9	0.005553074186611944	8192														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									3	Setting status of trial#3 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
4		2020-05-24 19:39:02.433886	2020-05-24 19:40:44.035467	256	0.4138431148935062	350	29	0.02639107456742501	8192														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									4	Setting status of trial#4 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
5		2020-05-24 19:40:44.044583	2020-05-24 19:41:41.560455	128	0.37003656012679265	500	16	0.0145961601461672	4096														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									5	Setting status of trial#5 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
6		2020-05-24 19:41:41.571012	2020-05-24 19:42:27.881751	256	0.34946350929491415	50	5	0.0024564614087706944	1024														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									6	Setting status of trial#6 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
7		2020-05-24 19:42:27.892030	2020-05-24 19:43:26.285390	256	0.4578436872080722	500	24	0.09546595876627327	1024														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									7	Setting status of trial#7 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
8		2020-05-24 19:43:26.296069	2020-05-24 19:44:17.924104	128	0.4790174086860999	250	41	0.020916111174012715	2048														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									8	Setting status of trial#8 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
9		2020-05-24 19:44:17.934731	2020-05-24 19:45:12.954463	64	0.4331517635746748	500	38	0.002043213367751268	2048														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									9	Setting status of trial#9 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
10		2020-05-24 19:45:12.967764	2020-05-24 19:45:59.605367	128	0.2820198200761873	250	12	0.00157906587727954	4096														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									10	Setting status of trial#10 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
11		2020-05-24 19:45:59.616725	2020-05-24 19:47:07.973270	256	0.30608242506880523	400	44	0.0013187235120609255	1024														The current model can't be evaluated on this hardware with these parameters, as evaluation batch_size=1 is too big and slicing is not implemented for this model yet.									11	Setting status of trial#11 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
